Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,123.17,-68.285,90.0,top
C2,1u,C_0402_1005Metric,121.78,-121.435,90.0,top
C3,1u,C_0402_1005Metric,117.305,-121.43,-90.0,top
C4,100n,C_0402_1005Metric,125.995,-114.75,-90.0,top
C5,1u,C_0402_1005Metric,99.81,-140.025,-126.0,top
C6,1u,C_0402_1005Metric,146.51,-140.005,-54.0,top
C7,1u,C_0402_1005Metric,160.935,-95.65,18.0,top
C8,1u,C_0402_1005Metric,85.47,-95.64,162.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,109.31,-126.965,306.0,bottom
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,100.76,-100.645,18.0,bottom
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,123.165,-84.31,90.0,bottom
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,145.605,-100.615,162.0,bottom
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.035,-126.975,234.0,bottom
D21,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,117.395,-94.105,135.0,top
D22,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,119.76,-94.105,135.0,top
D23,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.125,-96.495,135.0,top
D24,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.09,-94.105,135.0,top
D25,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,119.745,-96.48,135.0,top
D26,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.195,-94.295,135.0,top
D27,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.16,-98.88,135.0,top
D28,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,117.595,-96.675,135.0,top
D29,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.195,-96.665,135.0,top
D30,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,119.995,-99.08,135.0,top
D31,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,117.59,-99.07,135.0,top
D32,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.19,-99.06,135.0,top
D33,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,129.3,-94.11,135.0,top
D34,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,126.89,-94.11,135.0,top
D35,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,124.505,-94.11,135.0,top
D36,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,131.695,-94.11,135.0,top
D37,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,131.69,-96.485,135.0,top
D38,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,129.265,-96.475,135.0,top
D39,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,126.89,-96.49,135.0,top
D40,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,124.465,-96.48,135.0,top
D41,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,131.685,-98.87,135.0,top
D42,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,129.285,-98.86,135.0,top
D43,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,126.885,-98.875,135.0,top
D44,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,124.535,-98.89,135.0,top
D45,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,131.685,-101.255,135.0,top
D46,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,129.285,-101.27,135.0,top
D47,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,126.935,-101.285,135.0,top
D48,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,124.56,-101.275,135.0,top
D49,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.385,-101.465,135.0,top
D50,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.41,-103.88,135.0,top
D51,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.405,-106.27,135.0,top
D52,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.38,-108.66,135.0,top
D53,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,119.98,-101.45,135.0,top
D54,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,120.005,-103.865,135.0,top
D55,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,120.005,-106.28,135.0,top
D56,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,119.955,-108.645,135.0,top
D57,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,117.605,-101.46,135.0,top
D58,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,117.605,-103.875,135.0,top
D59,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,117.59,-106.27,135.0,top
D60,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,117.58,-108.655,135.0,top
D61,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.2,-101.47,135.0,top
D62,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.2,-103.885,135.0,top
D63,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.2,-106.275,135.0,top
D64,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.2,-108.665,135.0,top
D65,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,131.675,-103.655,135.0,top
D66,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,131.7,-106.07,135.0,top
D67,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,131.7,-108.485,135.0,top
D68,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,129.325,-103.675,135.0,top
D69,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,129.325,-106.09,135.0,top
D70,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,129.55,-108.68,135.0,top
D71,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,126.97,-103.695,135.0,top
D72,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,127.17,-106.285,135.0,top
D73,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,127.17,-108.675,135.0,top
D74,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,124.795,-103.89,135.0,top
D75,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,124.795,-106.28,135.0,top
D76,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,124.795,-108.67,135.0,top
J2,USB_C_Receptacle_USB2.0,TYPE C 16 PIN MIDDLE MOUNT CH 0.52,123.17,-128.455,0.0,top
R1,1k5,R_0402_1005Metric,116.3,-121.445,90.0,top
R15,5k1,R_0402_1005Metric,122.85,-121.45,90.0,top
R16,5k1,R_0402_1005Metric,129.715,-121.375,90.0,top
R17,1k5,R_0402_1005Metric,122.225,-118.719369,180.0,top
R19,33R,R_0402_1005Metric,128.6875,-121.375,90.0,top
R2,1k5,R_0402_1005Metric,115.295,-121.45,90.0,top
R20,33R,R_0402_1005Metric,127.66,-121.375,90.0,top
U1,CH32V003FxUx,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,123.325,-115.96,180.0,top
U3,ME6211A33M3G-N,SOT-23-3,119.535,-121.535,-90.0,top
U4,USBLC6-2P6,SOT-666,125.3,-121.41,0.0,top
